strategy_key,name,commodity,total_trades,total_return_pct,win_rate_pct,max_drawdown_pct,is_baseline,error
step1_ichimoku_Ichimoku_T9_K30_SB65_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K30_SB65_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K30_SB65_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K30_SB65_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K34_SB52_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K34_SB52_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K34_SB52_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K34_SB52_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K34_SB52_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K34_SB52_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K34_SB52_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K34_SB52_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K34_SB60_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K34_SB60_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K34_SB60_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K34_SB60_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K34_SB60_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K34_SB60_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K34_SB60_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K34_SB60_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K34_SB65_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K34_SB65_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K34_SB65_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K34_SB65_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K34_SB65_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K34_SB65_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K34_SB65_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K34_SB65_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K26_SB52_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K26_SB52_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K26_SB52_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K26_SB52_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K26_SB52_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K26_SB52_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K26_SB52_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K26_SB52_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K26_SB60_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K26_SB60_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K26_SB60_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K26_SB60_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K26_SB60_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K26_SB60_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K26_SB60_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K26_SB60_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K26_SB65_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K26_SB65_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K26_SB65_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K26_SB65_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K26_SB65_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K26_SB65_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K26_SB65_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K26_SB65_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K30_SB52_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K30_SB52_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K30_SB52_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K30_SB52_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K30_SB52_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K30_SB52_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K30_SB52_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K30_SB52_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K30_SB60_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K30_SB60_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K30_SB60_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K30_SB60_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K30_SB60_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K30_SB60_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K30_SB60_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K30_SB60_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K30_SB65_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K30_SB65_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K30_SB65_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K30_SB65_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K30_SB65_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K30_SB65_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K30_SB65_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K30_SB65_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K34_SB52_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K34_SB52_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K34_SB52_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K34_SB52_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K34_SB52_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K34_SB52_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K34_SB52_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K34_SB52_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K34_SB60_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K34_SB60_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K34_SB60_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K34_SB60_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K34_SB60_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K34_SB60_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K34_SB60_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K34_SB60_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K34_SB65_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K34_SB65_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K34_SB65_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K34_SB65_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K34_SB65_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K34_SB65_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T12_K34_SB65_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T12_K34_SB65_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K26_SB52_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K26_SB52_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K26_SB52_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K26_SB52_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K26_SB52_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K26_SB52_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K26_SB52_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K26_SB52_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K26_SB60_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K26_SB60_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K26_SB60_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K26_SB60_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K26_SB60_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K26_SB60_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K26_SB60_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K26_SB60_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K26_SB65_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K26_SB65_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K26_SB65_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K26_SB65_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K26_SB65_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K26_SB65_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K26_SB65_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K26_SB65_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K30_SB52_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K30_SB52_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K30_SB52_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K30_SB52_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K30_SB52_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K30_SB52_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K30_SB52_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K30_SB52_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K30_SB60_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K30_SB60_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K30_SB60_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K30_SB60_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K30_SB60_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K30_SB60_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K30_SB60_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K30_SB60_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K30_SB65_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K30_SB65_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K30_SB65_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K30_SB65_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K30_SB65_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K30_SB65_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K30_SB65_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K30_SB65_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K34_SB52_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K34_SB52_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K34_SB52_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K34_SB52_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K34_SB52_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K34_SB52_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K34_SB52_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K34_SB52_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K34_SB60_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K34_SB60_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K34_SB60_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K34_SB60_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K34_SB60_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K34_SB60_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K34_SB60_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K34_SB60_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K34_SB65_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K34_SB65_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K34_SB65_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K34_SB65_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K34_SB65_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K34_SB65_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T15_K34_SB65_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T15_K34_SB65_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_macd_MACD_F10_S24_Sig7,,GOLD,,,,,False,"""Strategy key 'step1_macd_MACD_F10_S24_Sig7' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_macd_MACD_F10_S24_Sig9,,GOLD,,,,,False,"""Strategy key 'step1_macd_MACD_F10_S24_Sig9' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_macd_MACD_F10_S24_Sig11,,GOLD,,,,,False,"""Strategy key 'step1_macd_MACD_F10_S24_Sig11' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_macd_MACD_F10_S26_Sig7,,GOLD,,,,,False,"""Strategy key 'step1_macd_MACD_F10_S26_Sig7' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_macd_MACD_F10_S26_Sig9,,GOLD,,,,,False,"""Strategy key 'step1_macd_MACD_F10_S26_Sig9' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_macd_MACD_F10_S26_Sig11,,GOLD,,,,,False,"""Strategy key 'step1_macd_MACD_F10_S26_Sig11' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_macd_MACD_F10_S28_Sig7,,GOLD,,,,,False,"""Strategy key 'step1_macd_MACD_F10_S28_Sig7' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
